Species,vsgv_counts,sample_dsgv_counts
Blautia_faecis,234,382
Ruminococcus_obeum,204,311
Phocaeicola_vulgatus,181,258
Coprococcus_comes,177,308
Roseburia_intestinalis,177,144
Roseburia_inulinivorans,170,588
Anaerobutyricum_soehngenii,169,150
Dorea_formicigenerans,162,248
Prevotella_copri,159,91
Anaerobutyricum_hallii,148,272
Clostridium_fessum,147,171
Fusicatenibacter_saccharivorans,133,186
Lactobacillus_rogosae,109,138
Phascolarctobacterium_faecium,107,53
Blautia_wexlerae,96,481
Eubacterium_ventriosum,86,53
Ruminococcus_torques,86,205
Eubacterium_rectale,84,484
Dorea_longicatena,83,117
Ruminococcus_lactaris,80,163
Anaerostipes_hadrus,76,181
Bifidobacterium_longum,69,38
Megamonas_rupellensis,65,65
Bilophila_wadsworthia,62,0
Eubacterium_biforme,59,217
Blautia_hansenii,56,0
Bacteroides_massiliensis,55,13
Ruminococcus_callidus,55,11
Bifidobacterium_pseudocatenulatum,51,113
Bifidobacterium_adolescentis,50,41
Eubacterium_eligens,48,238
Faecalibacillus_intestinalis,43,219
Adlercreutzia_equolifaciens,39,0
Prevotella_stercorea,39,49
Dialister_sp._Marseille,35,0
Bacteroides_stercoris,31,55
Clostridium_nexile,28,104
Bacteroides_coprocola,19,7
Roseburia_hominis,18,0
Eubacterium_eligens,17,81
Bacteroides_uniformis,12,2
Bifidobacterium_bifidum,5,0
Methanobrevibacter_smithii,2,0
Dialister_invisus,1,1
