SV_Type,Group,Group_Marginal_R2,p_value,p_adj
dSV,Urbanization,0.079140499,0.001,0.001285714
dSV,Diet,0.054492056,0.001,0.001285714
dSV,Ethnicity,0.043771248,0.001,0.001285714
dSV,Condition,0.028530772,0.001,0.001285714
dSV,Medication,0.005354888,0.011,0.011
dSV,BMI,0.001883423,0.001,0.001285714
dSV,Age,0.001661736,0.001,0.001285714
dSV,Sex,0.001449683,0.002,0.00225
dSV,Total,0.320068156,0.001,0.001
vSV,Urbanization,0.073244004,0.001,0.001285714
vSV,Diet,0.058156888,0.001,0.001285714
vSV,Ethnicity,0.044709263,0.001,0.001285714
vSV,Condition,0.02830792,0.001,0.001285714
vSV,Medication,0.004483554,0.205,0.205
vSV,Sex,0.002057084,0.001,0.001285714
vSV,BMI,0.001549288,0.004,0.0045
vSV,Age,0.001270706,0.001,0.001285714
vSV,Total,0.302541927,0.001,0.001
