Classification,Factor,Mean_Marginal_R2,Combined_P_value,Combined_p_adj_BH
Beverages,Red tea,0.001583437,0.17619792,0.295250568
Beverages,White  tea,0.001504644,0.521217623,0.633637111
Beverages,Green  tea,0.001498381,6.60E-05,2.15E-04
Beverages,Butter  Milk  Tea,0.001484014,1.48E-05,7.07E-05
Beverages,Puer  tea,0.00146291,2.82E-05,1.09E-04
Beverages,Coffee,0.001388054,0.779785792,0.829226593
Beverages,Spring  tea,0.001282527,0.072392103,0.140259699
Beverages,Scented  tea,0.00127573,0.4152558,0.5596926
Beverages,Sweet Rice Wine,0.001218688,0.789102725,0.829226593
Fruits,Banana,0.001712593,1.48E-05,7.07E-05
Fruits,Litchi,0.001617049,0.05068694,0.11060297
Fruits,Pineapple,0.001607202,1.48E-05,7.07E-05
Fruits,Pear,0.001589152,1.48E-05,7.07E-05
Fruits,Mango,0.001575375,1.48E-05,7.07E-05
Fruits,Apple,0.001520178,0.009203224,0.02113333
Fruits,Dragon fruit,0.001504813,0.13160959,0.226660961
Fruits,Pomegranate,0.00147476,0.487951597,0.60505998
Fruits,Grapefruit,0.001456539,0.056111561,0.115963892
Fruits,Persimmon,0.00144429,0.376311141,0.530256608
Fruits,Chinese  date,0.001434677,0.616506901,0.721196752
Fruits,Cantaloupe,0.001398134,0.337562492,0.498306536
Fruits,Passion fruit,0.001385416,0.472224038,0.597507966
Fruits,Blueberry,0.001327472,0.316646915,0.490802719
Fruits,Kiwi,0.001293573,0.826295077,0.853838246
Fruits,Fig,0.001251524,0.658416288,0.742214725
Fruits,Papaya,0.001227216,0.862617564,0.862617564
Fruits,Jackfruit,0.001217597,0.328269955,0.496408225
Fruits,Longan,0.001193791,0.651536131,0.742214725
Fruits,Peach,0.001188159,0.291587041,0.463548629
Fruits,Watermelon,0.001173544,0.852076778,0.862617564
Fruits,Grape,0.001021101,0.572560671,0.682668492
Fruits,Plum,9.91E-04,0.4520389,0.58388358
Fruits,Mangosteen,0,0.09394213,0.171306236
Others,Mushroom,0.001870714,1.48E-05,7.07E-05
Others,Flower,0.001454485,0.06018413,0.120368261
Others,Insect,0.001270297,6.60E-05,2.15E-04
Side dishes,Mutton,0.001848881,0.109980723,0.194822994
Side dishes,Root vegetables,0.001724925,1.48E-05,7.07E-05
Side dishes,Fish,0.001642025,0.002652233,0.006577537
Side dishes,Beef,0.001624584,2.82E-05,1.09E-04
Side dishes,Pork,0.001575509,1.02E-04,3.01E-04
Side dishes,Leafed  vegetable,0.001510068,6.72E-04,0.001812448
Side dishes,Ham,0.001363584,1.48E-05,7.07E-05
Side dishes,Sauerkraut,0.00133709,0.051733647,0.11060297
Side dishes,Duck,0.001305436,0.411249802,0.5596926
Side dishes,Cured Pork,0.001269333,0.355666437,0.512821374
Side dishes,Chicken,0.001249942,0.001039435,0.002685207
Side dishes,Dog meat,0.001193774,0.42454994,0.560044602
Side dishes,Egg,0.001155544,0.763227306,0.829226593
Side dishes,Hairy Crab,0,0.087304318,0.164026295
Special flavour,spicy,0.001633932,1.48E-05,7.07E-05
Special flavour,cold,0.001615548,1.48E-05,7.07E-05
Special flavour,sour,0.001526676,1.48E-05,7.07E-05
Staple foods,Wheat,0.001795369,1.48E-05,7.07E-05
Staple foods,Rice,0.00165755,2.82E-05,1.09E-04
Staple foods,Glutinous rice,0.001640675,1.48E-05,7.07E-05
Staple foods,Corn,0.001536074,7.81E-05,2.42E-04
Staple foods,Highland barley,0.001364267,0.002774036,0.006615008
Staple foods,Purple rice,0.00131491,5.37E-05,1.96E-04
Staple foods,Rice Noodles,0.00127408,0.19341438,0.315570831
Staple foods,Potato,0.00125351,6.72E-04,0.001812448
Staple foods,Millet,0.001214867,0.680836014,0.75378273
