"Group1","Group2","F","R2","P","FDR"
"Mexico","USA",3.85289129551458,0.0859006227743423,2e-04,0.000222222222222222
"Mexico","Tanzania",6.60178234982721,0.162598338490313,3e-04,3e-04
"Mexico","New_Yunnan",6.48262318965196,0.0315482793095783,1e-04,0.000125
"Mexico","Yunnan860",30.0888309022839,0.033061422006963,1e-04,0.000125
"USA","Tanzania",5.88245428093292,0.151288142421029,1e-04,0.000125
"USA","New_Yunnan",6.01295156558891,0.0294733815644826,1e-04,0.000125
"USA","Yunnan860",20.8940247021861,0.0232183169669349,1e-04,0.000125
"Tanzania","New_Yunnan",5.69811310008191,0.0289688244095288,1e-04,0.000125
"Tanzania","Yunnan860",6.74169829667138,0.00767199088166557,1e-04,0.000125
"New_Yunnan","Yunnan860",57.6193626276816,0.0526387204492378,1e-04,0.000125
