"Group1","Group2","F","R2","P","FDR"
"Mexico","USA",3.89675822498173,0.0867937548064098,1e-04,1e-04
"Mexico","Tanzania",12.3966612977058,0.273074295407101,1e-04,1e-04
"Mexico","New_Yunnan",3.54536412902933,0.0175908989241727,1e-04,1e-04
"Mexico","Yunnan860",6.26843321287733,0.00732919978038885,1e-04,1e-04
"USA","Tanzania",14.0835339447414,0.305608809463895,1e-04,1e-04
"USA","New_Yunnan",3.78426661246276,0.0188474260274927,1e-04,1e-04
"USA","Yunnan860",5.93639193557363,0.006951796400336,1e-04,1e-04
"Tanzania","New_Yunnan",15.3917054904418,0.0753049418199682,1e-04,1e-04
"Tanzania","Yunnan860",10.7930554108591,0.0126858762447785,1e-04,1e-04
"New_Yunnan","Yunnan860",32.2298686142217,0.0310730240127793,1e-04,1e-04
